S.No.,Month ,Servise Requests ,Hired Workers ,Request_handled_per_worker,Required Workers,Workers_Shortage ,Workers _excess
1,Jan 2023,30,8,10,3,0,5
2,Feb 2023,62,8,10,6,0,2
3,Mar 2023,88,8,10,9,1,0
4,Apr 2023,140,8,10,14,6,0
5,May 2023,142,8,10,14,6,0
6,Jun 2023,103,8,10,10,2,0
7,Jul 2023,76,8,10,8,0,0
8,Aug 2023,65,8,10,7,0,2
9,Sep 2023,63,8,10,6,0,2
10,Oct 2023,68,8,10,7,0,1
11,Nov 2023,53,8,10,5,0,3
12,Dec 2023,38,8,10,4,0,4
13,Jan 2024,34,8,10,3,0,5
14,Feb 2024,53,8,10,5,0,3
15,Mar 2024,85,8,10,9,1,0
16,Apr 2024,130,8,10,13,5,0
17,May 2024,146,8,10,15,7,0
18,Jun 2024,123,8,10,12,4,0
19,Jul 2024,73,8,10,7,0,1
20,Aug 2024,52,8,10,5,0,3
21,Sep 2024,59,8,10,6,0,2
22,Oct 2024,58,8,10,6,0,2
23,Nov 2024,48,8,10,5,0,3
24,Dec 2024,36,8,10,4,0,4